City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.1203,-134.9692,25.67,77,80,2.33,PF,1680271065
1,provideniya,64.3833,-173.3,-16.58,87,10,3.12,RU,1680271065
2,khatanga,71.9667,102.5,-20.74,93,98,6.41,RU,1680271065
3,voloshka,61.3314,40.0858,1.1,76,43,1.01,RU,1680271065
4,ushuaia,-54.8,-68.3,5.81,81,20,2.06,AR,1680271065
5,upernavik,72.7868,-56.1549,-25.51,83,3,3.06,GL,1680271065
6,clyde river,70.4692,-68.5914,-17.87,78,100,5.14,CA,1680271065
7,kudahuvadhoo,2.6708,72.8944,28.31,73,12,1.81,MV,1680271065
8,cape town,-33.9258,18.4232,25.06,64,0,11.83,ZA,1680271028
9,east london,-33.0153,27.9116,22.52,60,0,3.09,ZA,1680270867
10,iracoubo,5.4802,-53.2011,27.82,69,92,5.4,GF,1680271065
11,hermanus,-34.4187,19.2345,22.11,64,9,3.74,ZA,1680271065
12,cherskiy,68.75,161.3,-4.47,96,100,4.27,RU,1680271065
13,albany,42.6001,-73.9662,3.86,51,99,2.6,US,1680270919
14,naberera,-4.2,36.9333,26.51,38,43,4.59,TZ,1680271065
15,okhotsk,59.3833,143.3,-4.36,93,100,1.35,RU,1680271065
16,barrow,71.2906,-156.7887,-15.99,92,100,1.54,US,1680271066
17,tunceli,39.1083,39.5471,5.18,46,99,3.02,TR,1680271066
18,faanui,-16.4833,-151.75,27.71,72,29,2.93,PF,1680271066
19,hasaki,35.7333,140.8333,12.34,73,3,5.69,JP,1680271066
20,dikson,73.5069,80.5464,-13.63,90,100,11.19,RU,1680271066
21,nikolskoye,59.7035,30.7861,1.94,96,99,1.42,RU,1680271066
22,alugan,12.2188,125.4808,26.54,84,25,3.6,PH,1680271066
23,saskylakh,71.9167,114.0833,-22.73,95,93,5.37,RU,1680271066
24,sao felix do xingu,-6.6447,-51.995,27.54,73,97,1.93,BR,1680271066
25,lompoc,34.6391,-120.4579,7.18,83,0,3.6,US,1680271066
26,atbasar,51.8,68.3333,-4.22,82,14,4.95,KZ,1680271066
27,saint-philippe,-21.3585,55.7679,28.77,85,49,5.27,RE,1680271066
28,qaanaaq,77.484,-69.3632,-23.26,69,29,1.96,GL,1680271066
29,pirgos,35.1167,25.7178,18.12,65,1,3.31,GR,1680271066
30,goumenissa,40.9439,22.4442,19.76,45,92,3.43,GR,1680271066
31,norman wells,65.282,-126.8329,-16.98,71,20,1.54,CA,1680271066
32,los llanos de aridane,28.6585,-17.9182,24.86,44,0,6.17,ES,1680270817
33,the valley,18.217,-63.0578,27.92,61,20,6.17,AI,1680271067
34,rocha,-34.4833,-54.3333,19.46,88,98,6.95,UY,1680270866
35,piacabucu,-10.4056,-36.4344,29.32,56,100,3.18,BR,1680271067
36,kuala terengganu,5.3302,103.1408,27.97,78,20,1.03,MY,1680271067
37,hobart,-42.8794,147.3294,9.03,68,59,6.69,AU,1680271067
38,bredasdorp,-34.5322,20.0403,22.24,47,5,4.16,ZA,1680271067
39,bethel,41.3712,-73.414,5.11,54,75,0.0,US,1680270783
40,castro,-24.7911,-50.0119,23.59,65,8,2.66,BR,1680271067
41,kapaa,22.0752,-159.319,23.18,93,100,3.09,US,1680271067
42,arraial do cabo,-22.9661,-42.0278,27.98,78,0,3.6,BR,1680271067
43,berlevag,70.8578,29.0864,-5.0,79,0,3.6,NO,1680271067
44,voh,-20.9667,164.7,25.02,86,87,1.44,NC,1680271067
45,busselton,-33.65,115.3333,17.42,69,100,6.61,AU,1680271067
46,sandviken,60.6167,16.7667,4.5,57,2,3.15,SE,1680271067
47,pochutla,15.7432,-96.4661,26.01,56,36,0.12,MX,1680271067
48,butaritari,3.0707,172.7902,26.94,81,100,3.14,KI,1680271067
49,hilo,19.7297,-155.09,22.93,94,100,2.06,US,1680271067
50,hambantota,6.1241,81.1185,29.19,89,40,1.03,LK,1680271067
51,atuona,-9.8,-139.0333,26.85,78,77,7.75,PF,1680271067
52,ormara,25.2088,64.6357,25.25,72,0,9.08,PK,1680271067
53,bonavista,48.6499,-53.1147,-0.87,84,27,3.0,CA,1680271068
54,kalaleh,37.3807,55.4916,13.78,82,100,2.06,IR,1680271068
55,bathsheba,13.2167,-59.5167,29.34,61,40,10.8,BB,1680271068
56,tasiilaq,65.6145,-37.6368,0.2,68,100,1.28,GL,1680271068
57,baghdad,33.3406,44.4009,17.95,29,40,5.14,IQ,1680271021
58,san carlos,9.6612,-68.5827,31.69,43,91,1.71,VE,1680271068
59,araouane,18.9048,-3.5265,37.26,4,0,5.48,ML,1680271068
60,la palma,33.8464,-118.0467,9.9,84,0,3.09,US,1680271068
61,acapulco,16.8634,-99.8901,26.09,66,50,1.03,MX,1680270914
62,sao geraldo do araguaia,-6.4006,-48.555,27.41,86,100,1.47,BR,1680271068
63,puerto ayora,-0.7393,-90.3518,25.31,98,44,0.89,EC,1680271068
64,nerchinsk,51.9833,116.5833,7.11,62,18,4.72,RU,1680271068
65,ilulissat,69.2167,-51.1,-22.16,75,1,0.94,GL,1680271068
66,ribeira grande,38.5167,-28.7,18.22,88,20,8.49,PT,1680271068
67,port alfred,-33.5906,26.891,19.54,77,100,0.89,ZA,1680271069
68,new norfolk,-42.7826,147.0587,8.84,63,28,0.45,AU,1680271069
69,lebedinyy,58.5167,125.5167,-1.41,88,99,4.59,RU,1680271069
70,carnarvon,-24.8667,113.6333,23.77,71,72,4.13,AU,1680271069
71,bluff,-46.6,168.3333,10.55,91,67,2.86,NZ,1680271069
72,kaitangata,-46.2817,169.8464,9.26,96,37,1.53,NZ,1680271069
73,airai,-8.9266,125.4092,15.61,94,99,0.79,TL,1680271069
74,luau,-10.7073,22.2247,21.4,85,100,1.7,AO,1680271069
75,san cristobal,7.7669,-72.225,20.1,66,99,1.7,VE,1680271069
76,punta arenas,-53.15,-70.9167,8.06,66,0,8.23,CL,1680271069
77,benjamin constant,-4.3831,-70.0311,25.03,88,40,1.54,BR,1680271070
78,saint george,37.1041,-113.5841,2.33,80,0,0.0,US,1680270800
79,ardatov,55.2421,43.097,6.44,71,99,4.18,RU,1680271070
80,namatanai,-3.6667,152.4333,26.29,80,100,1.77,PG,1680271070
81,laurel,39.0993,-76.8483,9.88,76,100,3.09,US,1680270799
82,koutiala,12.3917,-5.4642,39.34,4,6,3.89,ML,1680271070
83,vaini,-21.2,-175.2,24.09,94,20,1.54,TO,1680271070
84,faya,18.3851,42.4509,21.06,65,25,4.94,SA,1680271070
85,palmer,42.1584,-72.3287,5.73,41,99,0.89,US,1680271070
86,kahului,20.8947,-156.47,23.8,81,75,2.68,US,1680271070
87,lagos,6.5833,3.75,32.18,57,100,2.48,NG,1680270572
88,ballina,-28.8667,153.5667,16.55,66,100,0.56,AU,1680271070
89,tiksi,71.6872,128.8694,-30.29,100,46,3.46,RU,1680271070
90,lebu,-37.6167,-73.65,14.49,51,9,2.79,CL,1680271070
91,avarua,-21.2078,-159.775,26.03,94,100,1.03,CK,1680271070
92,iqaluit,63.7506,-68.5145,-13.15,85,100,2.06,CA,1680271071
93,chapais,49.7834,-74.8492,-5.12,87,100,4.4,CA,1680271071
94,yabrud,33.9674,36.6574,6.78,23,0,5.68,SY,1680271071
95,lyaskelya,61.7667,31.0167,-1.51,83,99,1.0,RU,1680271071
96,georgetown,5.4112,100.3354,29.96,79,20,2.57,MY,1680271011
97,batagay-alyta,67.8006,130.4114,-26.09,100,100,1.73,RU,1680271071
98,lorengau,-2.0226,147.2712,26.99,81,93,2.79,PG,1680271071
99,cidreira,-30.1811,-50.2056,26.42,66,0,1.5,BR,1680271071
100,chuy,-33.6971,-53.4616,20.07,95,100,5.79,UY,1680271071
101,tuy hoa,13.0833,109.3,24.26,91,84,1.28,VN,1680271071
102,pacific grove,36.6177,-121.9166,5.28,88,1,0.89,US,1680271071
103,quatre cocos,-20.2078,57.7625,29.06,80,6,4.68,MU,1680271072
104,mataura,-46.1927,168.8643,7.8,99,84,1.36,NZ,1680271072
105,port hawkesbury,45.6169,-61.3485,-2.29,92,100,10.8,CA,1680271072
106,camacha,33.0833,-16.3333,20.68,68,20,6.17,PT,1680271073
107,teya,60.3778,92.6267,-20.41,100,92,1.22,RU,1680271073
108,belmonte,-15.8631,-38.8828,28.31,66,26,2.32,BR,1680271073
109,san quintin,30.4833,-115.95,11.01,69,96,0.69,MX,1680271073
110,havre-saint-pierre,50.2334,-63.5986,0.2,74,100,3.6,CA,1680271073
111,broken hill,-31.95,141.4333,17.85,46,100,4.98,AU,1680271073
112,mount gambier,-37.8333,140.7667,11.33,71,100,2.69,AU,1680271073
113,vawkavysk,53.1561,24.4513,10.57,75,100,3.86,BY,1680271073
114,catuday,16.2923,119.8062,25.44,81,7,3.37,PH,1680271073
115,mandalgovi,45.7625,106.2708,7.9,23,2,3.55,MN,1680271073
116,emerald,-23.5333,148.1667,21.3,57,11,3.27,AU,1680270877
117,belgrade,44.804,20.4651,21.5,42,0,2.06,RS,1680270784
118,kaeo,-35.1,173.7833,18.51,89,100,2.77,NZ,1680271074
119,ahuimanu,21.4447,-157.8378,23.81,91,40,2.06,US,1680271074
120,aragarcas,-15.8975,-52.2508,30.36,66,0,1.54,BR,1680271074
121,mar del plata,-38.0023,-57.5575,16.64,65,20,8.23,AR,1680271074
122,teknaf,20.8624,92.3058,26.11,81,3,4.45,BD,1680271074
123,paramirim,-13.4425,-42.2389,31.96,21,4,2.53,BR,1680271074
124,esperance,-33.8667,121.9,18.36,70,100,8.07,AU,1680271074
125,victoria,22.2855,114.1577,21.03,92,100,4.92,HK,1680271007
126,yellowknife,62.456,-114.3525,-24.69,77,20,3.6,CA,1680271074
127,santa eulalia,-11.85,-76.6833,14.41,71,32,1.55,PE,1680271074
128,kodiak,57.79,-152.4072,-1.27,64,0,6.17,US,1680270999
129,maputo,-25.9653,32.5892,27.82,78,75,3.6,MZ,1680270725
130,cayenne,4.9333,-52.3333,28.02,69,75,6.17,GF,1680270928
131,ajdabiya,30.7554,20.2263,19.86,28,0,5.37,LY,1680271075
132,vardo,70.3705,31.1107,-9.01,86,0,4.63,NO,1680271075
133,sao filipe,14.8961,-24.4956,24.65,70,100,4.26,CV,1680271075
134,barranca,-10.75,-77.7667,25.49,76,65,3.39,PE,1680271075
135,geraldton,-28.7667,114.6,22.23,83,40,1.54,AU,1680271075
136,malanje,-9.5402,16.341,24.07,67,96,1.96,AO,1680271075
137,longyearbyen,78.2186,15.6401,-9.09,73,40,5.66,SJ,1680270833
138,dibulla,11.2725,-73.3091,27.07,68,38,6.38,CO,1680271075
139,chokurdakh,70.6333,147.9167,-20.3,95,100,4.95,RU,1680271075
140,ponta do sol,32.6667,-17.1,23.96,52,0,3.52,PT,1680271075
141,laguna,38.421,-121.4238,8.58,85,75,2.57,US,1680271075
142,meadow lake,34.8014,-106.5436,3.59,45,1,10.69,US,1680271075
143,porto empedocle,37.2934,13.5264,22.4,68,99,2.37,IT,1680271075
144,souillac,-20.5167,57.5167,29.21,74,75,4.12,MU,1680271075
145,takoradi,4.8845,-1.7554,29.75,66,100,4.78,GH,1680271075
146,port elizabeth,-33.918,25.5701,22.28,59,0,5.66,ZA,1680270544
147,awbari,26.5921,12.7805,26.66,10,0,4.61,LY,1680271076
148,kloulklubed,7.0419,134.2556,24.28,70,0,1.31,PW,1680271076
149,witu,-2.3889,40.4382,32.09,56,71,5.78,KE,1680271076
150,siilinjarvi,63.0833,27.6667,1.27,50,0,5.14,FI,1680271076
151,mayo,38.8876,-76.5119,10.78,70,100,6.69,US,1680271076
152,hithadhoo,-0.6,73.0833,28.51,72,19,3.56,MV,1680271076
153,nanortalik,60.1432,-45.2371,-2.52,77,34,3.49,GL,1680271076
154,khash,28.2211,61.2158,23.01,20,100,7.45,IR,1680271076
155,udachnyy,66.4167,112.4,-27.37,100,92,2.3,RU,1680271076
156,codrington,-38.2667,141.9667,12.3,67,100,4.85,AU,1680271076
157,taltal,-25.4,-70.4833,21.32,74,24,1.3,CL,1680271076
158,kouroussa,10.65,-9.8833,39.43,11,30,2.41,GN,1680271076
159,talnakh,69.4865,88.3972,-21.0,99,93,3.76,RU,1680271076
160,yuksekova,37.5736,44.2872,-2.14,86,75,3.6,TR,1680271076
161,port-cartier,50.0334,-66.8654,-0.88,93,100,1.91,CA,1680271076
162,jamestown,42.097,-79.2353,6.97,53,75,2.57,US,1680271076
163,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,100,100,0.51,BR,1680271076
164,bonthe,7.5264,-12.505,30.8,57,31,5.51,SL,1680271076
165,rockland,41.1668,-74.0496,7.35,58,83,3.13,US,1680270943
166,hays,30.0502,-98.0336,21.82,86,55,3.58,US,1680271076
167,ambikapur,23.1167,83.2,21.4,64,93,0.84,IN,1680271077
168,alberton,46.8168,-64.0654,-2.05,76,27,5.18,CA,1680271077
169,nemuro,43.3236,145.575,2.64,96,87,2.87,JP,1680271077
170,macon,39.8667,-88.9668,15.14,82,100,9.26,US,1680270954
171,oktyabrskiy,54.4815,53.471,6.13,80,100,6.67,RU,1680271077
172,charleston,32.7766,-79.9309,22.27,79,100,3.09,US,1680270932
173,ayan,56.45,138.1667,-6.49,98,93,1.95,RU,1680271077
174,tamandare,-8.7597,-35.1047,28.89,59,41,3.21,BR,1680271078
175,amga,60.8953,131.9608,-4.37,96,100,3.14,RU,1680271078
176,vila franca do campo,37.7167,-25.4333,17.23,82,74,5.29,PT,1680271078
177,labuhan,-6.8844,112.2051,23.4,94,100,4.62,ID,1680271078
178,port blair,11.6667,92.75,29.02,70,40,3.09,IN,1680271078
179,port hardy,50.6996,-127.4199,6.0,93,75,1.54,CA,1680271078
180,ola,59.5833,151.2833,-2.14,96,100,4.0,RU,1680271078
181,manaure,11.7751,-72.4445,28.12,58,15,9.6,CO,1680271078
182,volokonovka,50.4827,37.8563,1.46,100,100,3.49,RU,1680271078
183,nioro,13.35,-15.75,39.74,17,37,3.35,GM,1680271078
184,leningradskiy,69.3833,178.4167,-19.88,87,32,2.55,RU,1680271078
185,shieli,44.1667,66.75,16.15,20,11,11.42,KZ,1680271078
186,olga,43.7444,135.2892,4.22,51,0,1.74,RU,1680271079
187,szigetvar,46.0486,17.8055,17.53,55,70,6.42,HU,1680271079
188,portobelo,9.55,-79.65,24.5,83,22,7.09,PA,1680271079
189,nara,34.6851,135.8049,13.78,30,17,0.89,JP,1680271079
190,itiuba,-10.6917,-39.8536,29.62,44,19,3.99,BR,1680271079
191,bolshoye selo,57.7177,38.9334,4.34,82,99,2.28,RU,1680271079
192,tuktoyaktuk,69.4541,-133.0374,-25.0,77,0,6.69,CA,1680271079
193,dauriya,49.9333,116.8667,12.29,24,85,5.52,RU,1680271079
194,thompson,55.7435,-97.8558,-18.91,71,75,0.0,CA,1680271079
195,alta floresta,-9.8756,-56.0861,37.9,47,40,2.06,BR,1680271079
196,high level,58.5169,-117.136,-6.94,68,75,4.12,CA,1680270908
197,grande prairie,55.1667,-118.8027,-8.9,92,40,1.03,CA,1680271079
198,mason city,43.1536,-93.201,15.07,87,100,4.12,US,1680271079
199,rawson,-43.3002,-65.1023,11.06,43,66,3.52,AR,1680271079
200,henties bay,-22.116,14.2845,17.85,71,0,4.56,NA,1680271079
201,manggar,-2.8833,108.2667,26.64,74,100,1.09,ID,1680271079
202,huarmey,-10.0681,-78.1522,26.13,78,26,3.7,PE,1680271079
203,vao,-22.6667,167.4833,24.92,84,55,5.28,NC,1680271080
204,khani,41.9563,42.9566,2.76,76,100,2.5,GE,1680271080
205,salawagan,7.7053,125.115,23.0,95,100,1.34,PH,1680271080
206,merauke,-8.4667,140.3333,27.25,79,46,3.47,ID,1680271080
207,vanavara,60.34,102.2797,-20.37,99,92,1.67,RU,1680271080
208,dodoma,-6.1722,35.7395,28.95,45,40,3.09,TZ,1680271080
209,cabedelo,-6.9811,-34.8339,29.37,62,27,5.39,BR,1680271080
210,goderich,43.7501,-81.7165,4.18,87,100,8.23,CA,1680271080
211,half moon bay,37.4636,-122.4286,9.06,91,100,2.06,US,1680271080
212,gat,31.61,34.7642,16.38,31,20,6.5,IL,1680271022
213,lavrentiya,65.5833,-171.0,-19.49,93,4,1.85,RU,1680271080
214,igarka,67.4667,86.5833,-22.47,99,46,1.66,RU,1680271080
215,chingirlau,51.095,54.0814,11.73,68,100,5.57,KZ,1680271080
216,arman,59.7,150.1667,-2.21,97,100,2.33,RU,1680271080
217,zhigansk,66.7697,123.3711,-25.32,95,26,4.1,RU,1680271081
218,lasa,46.6166,10.7002,9.65,99,100,1.74,IT,1680271081
219,meridian,43.6121,-116.3915,3.88,83,100,0.0,US,1680270833
220,salalah,17.0151,54.0924,27.63,56,3,3.52,OM,1680271081
221,olonets,60.9847,32.9698,0.44,92,100,1.19,RU,1680271081
222,norden,53.6,7.2,12.19,95,100,4.2,DE,1680271081
223,boca do acre,-8.7522,-67.3978,26.16,88,100,1.53,BR,1680271081
224,srednekolymsk,67.45,153.6833,-14.65,93,100,8.94,RU,1680271081
225,saldanha,-33.0117,17.9442,26.03,71,9,8.47,ZA,1680271081
226,talaya,61.3833,152.75,-8.91,88,100,4.7,RU,1680271081
227,buraydah,26.326,43.975,26.25,21,2,7.0,SA,1680271081
228,oyon,-10.6681,-76.7731,9.89,74,70,3.37,PE,1680271081
229,santa cruz,-17.8,-63.1667,29.7,74,75,5.14,BO,1680271079
230,kenai,60.5544,-151.2583,-1.95,99,100,1.54,US,1680271082
231,gayeri,12.6497,0.4931,39.42,5,15,5.21,BF,1680271082
232,egvekinot,66.3167,-179.1667,-23.2,100,100,0.97,RU,1680271082
233,solnechnyy,50.7214,136.6319,-3.15,89,5,1.74,RU,1680271083
234,florianopolis,-27.6146,-48.5012,27.01,74,0,1.03,BR,1680271083
235,kindu,-2.95,25.95,24.19,69,100,2.33,CD,1680271083
236,pangnirtung,66.1451,-65.7125,-13.76,84,44,0.91,CA,1680271083
237,bud,39.447,-86.1758,12.6,89,100,7.52,US,1680271083
238,hamilton,39.1834,-84.5333,11.11,92,100,8.23,US,1680271003
239,san jose,37.3394,-121.895,6.9,86,0,2.06,US,1680270841
240,lukoyanov,55.0277,44.4786,5.72,70,100,5.3,RU,1680271084
241,sagua la grande,22.8067,-80.0756,27.55,61,4,7.42,CU,1680271084
242,maragogi,-9.0122,-35.2225,28.45,64,25,3.38,BR,1680271085
243,acari,-15.4311,-74.6158,26.26,73,97,2.3,PE,1680271086
244,west bay,19.3667,-81.4167,28.93,78,20,4.12,KY,1680270878
245,axim,4.8699,-2.2405,29.55,65,100,4.55,GH,1680271086
246,bodden town,19.2833,-81.25,28.89,84,20,4.12,KY,1680271086
247,atikokan,48.7555,-91.6216,-3.52,86,88,3.89,CA,1680271086
248,klaksvik,62.2266,-6.589,7.51,92,100,12.01,FO,1680271086
249,aksu,41.1231,80.2644,17.63,22,0,3.2,CN,1680271086
250,bintulu,3.1667,113.0333,25.23,88,20,0.0,MY,1680271087
251,oistins,13.0667,-59.5333,29.05,61,40,10.8,BB,1680271087
252,sungai besar,3.6746,100.9867,25.94,86,88,0.8,MY,1680271087
253,dalianwan,39.0286,121.695,11.02,62,14,2.0,CN,1680271088
254,namibe,-15.1961,12.1522,25.37,75,100,4.8,AO,1680271088
255,mahebourg,-20.4081,57.7,29.16,74,75,4.12,MU,1680271088
256,kavieng,-2.5744,150.7967,27.14,75,99,1.33,PG,1680271088
257,valleyview,55.0667,-117.2859,-6.98,93,100,3.09,CA,1680270905
258,vostok,46.4856,135.8833,-4.81,87,5,1.42,RU,1680271089
259,oromocto,45.8351,-66.4792,-0.94,45,20,6.17,CA,1680271089
260,boyuibe,-20.4167,-63.2833,28.59,56,0,3.26,BO,1680271089
261,yicheng,31.3705,119.8703,12.21,90,80,3.91,CN,1680271090
262,tocopilla,-22.092,-70.1979,23.13,79,97,2.0,CL,1680271090
263,antofagasta,-23.65,-70.4,21.6,68,17,1.81,CL,1680271090
264,wageningen,51.9667,5.6667,12.84,85,75,6.17,NL,1680271090
265,victor harbor,-35.5667,138.6167,13.16,71,77,5.7,AU,1680271091
266,price,39.5994,-110.8107,1.18,74,0,2.57,US,1680270904
267,cinco esquinas,10.1037,-84.1678,20.26,59,0,8.23,CR,1680271091
268,fukue,32.6881,128.8419,16.4,74,99,2.3,JP,1680271091
269,businga,3.3333,20.8833,31.45,45,84,2.17,CD,1680271091
270,mandiana,10.6333,-8.6833,38.87,13,17,2.96,GN,1680271092
271,port lincoln,-34.7333,135.8667,15.99,62,88,5.32,AU,1680271092
272,ostrovnoy,68.0531,39.5131,-4.91,86,87,10.41,RU,1680271092
273,san patricio,28.017,-97.5169,24.38,85,99,7.81,US,1680271092
274,meulaboh,4.1363,96.1285,26.09,84,100,1.2,ID,1680271092
275,gouyave,12.1646,-61.7296,28.43,65,40,12.86,GD,1680271093
276,olafsvik,64.8945,-23.7142,4.72,96,99,3.57,IS,1680271093
277,ucluelet,48.9329,-125.5528,5.61,87,100,5.21,CA,1680271093
278,bada,51.392,109.8717,-5.62,75,90,5.3,RU,1680271094
279,wairoa,-39.0333,177.3667,14.19,82,100,0.89,NZ,1680271094
280,goma,-1.6792,29.2228,19.81,86,93,0.21,CD,1680271094
281,husavik,66.0449,-17.3389,3.07,99,97,3.9,IS,1680271094
282,panuco,22.05,-98.1667,23.1,85,96,1.03,MX,1680271094
283,manicore,-5.8092,-61.3003,26.97,83,40,1.03,BR,1680271094
284,torbay,47.6666,-52.7314,0.65,90,75,2.57,CA,1680271095
